tag,date,count
go,2016,5660
grails,2008,191
grails,2009,1340
grails,2010,3067
grails,2011,4974
grails,2012,5665
grails,2013,5779
grails,2014,6191
grails,2015,4586
grails,2016,2231
groovy,2008,269
groovy,2009,1091
groovy,2010,1818
groovy,2011,3318
groovy,2012,3210
groovy,2013,3155
groovy,2014,3777
groovy,2015,3311
groovy,2016,2309
gruntjs,2012,213
gruntjs,2013,2052
gruntjs,2014,3401
gruntjs,2015,2771
gruntjs,2016,1277
haskell,2008,260
haskell,2009,1730
haskell,2010,3170
haskell,2011,5917
haskell,2012,6575
haskell,2013,6692
haskell,2014,7597
haskell,2015,6042
haskell,2016,3956
html,2008,6086
html,2009,28970
html,2010,50076
html,2011,88549
html,2012,119505
html,2013,158269
html,2014,173098
html,2015,164895
html,2016,109707
ios,2008,231
ios,2009,1128
ios,2010,6005
ios,2011,53495
ios,2012,106284
ios,2013,118323
ios,2014,113699
ios,2015,121835
ios,2016,72499
iphone,2008,1813
iphone,2009,27739
iphone,2010,66276
iphone,2011,95772
iphone,2012,72947
iphone,2013,46253
iphone,2014,22157
iphone,2015,17736
iphone,2016,8558
java,2008,16885
java,2009,74697
java,2010,127210
java,2011,200922
java,2012,253335
java,2013,293025
java,2014,281715
java,2015,260458
java,2016,159859
javascript,2008,10381
javascript,2009,52938
javascript,2010,98939
javascript,2011,182813
javascript,2012,243507
javascript,2013,299872
javascript,2014,319694
javascript,2015,334716
javascript,2016,234651
jquery,2008,2922
jquery,2009,36734
jquery,2010,85303
jquery,2011,159984
jquery,2012,203491
jquery,2013,231795
jquery,2014,202561
jquery,2015,172890
jquery,2016,103980
json,2008,536
json,2009,3974
json,2010,8979
json,2011,19512
json,2012,28725
json,2013,38724
json,2014,43551
json,2015,47134
json,2016,34967
julia-lang,2012,14
julia-lang,2013,110
julia-lang,2014,519
julia-lang,2015,821
julia-lang,2016,649
jython,2008,120
jython,2009,254
jython,2010,258
jython,2011,330
jython,2012,344
jython,2013,361
jython,2014,309
jython,2015,289
jython,2016,111
latex,2008,98
latex,2009,1215
latex,2010,1947
latex,2011,696
latex,2012,575
latex,2013,571
latex,2014,627
latex,2015,718
latex,2016,464
lisp,2008,510
lisp,2009,1074
lisp,2010,1170
lisp,2011,1212
lisp,2012,1122
lisp,2013,1137
lisp,2014,829
lisp,2015,759
lisp,2016,505
lua,2008,145
lua,2009,628
lua,2010,868
lua,2011,1529
lua,2012,1546
lua,2013,2342
lua,2014,2414
lua,2015,1700
lua,2016,1373
magento,2008,4
magento,2009,281
magento,2010,2227
magento,2011,5741
magento,2012,9181
magento,2013,9652
magento,2014,8651
magento,2015,6802
magento,2016,3279
mapreduce,2008,28
mapreduce,2009,123
mapreduce,2010,411
mapreduce,2011,879
mapreduce,2012,1954
mapreduce,2013,2213
mapreduce,2014,2131
mapreduce,2015,2088
mapreduce,2016,1134
matlab,2008,188
matlab,2009,1426
matlab,2010,3152
matlab,2011,5225
matlab,2012,9000
matlab,2013,12929
matlab,2014,14351
matlab,2015,13106
matlab,2016,7165
mongodb,2008,4
mongodb,2009,76
mongodb,2010,1794
mongodb,2011,6254
mongodb,2012,10942
mongodb,2013,12952
mongodb,2014,15319
mongodb,2015,17192
mongodb,2016,13035
mono,2008,303
mono,2009,1189
mono,2010,1382
mono,2011,1750
mono,2012,1913
mono,2013,1759
mono,2014,1265
mono,2015,1160
mono,2016,693
ms-access,2008,1232
ms-access,2009,4341
ms-access,2010,4117
ms-access,2011,4947
ms-access,2012,5673
ms-access,2013,7194
ms-access,2014,5738
ms-access,2015,5179
ms-access,2016,3776
mysql,2008,4216
mysql,2009,25633
mysql,2010,46678
mysql,2011,81664
mysql,2012,98638
mysql,2013,110480
mysql,2014,103479
mysql,2015,91675
mysql,2016,59869
node.js,2009,22
node.js,2010,879
node.js,2011,7531
node.js,2012,15761
node.js,2013,24046
node.js,2014,31451
node.js,2015,41980
node.js,2016,35413
nosql,2008,27
nosql,2009,143
nosql,2010,1174
nosql,2011,1740
nosql,2012,1905
nosql,2013,1533
nosql,2014,1376
nosql,2015,1435
nosql,2016,1024
objective-c,2008,1317
objective-c,2009,14712
objective-c,2010,33391
objective-c,2011,67967
objective-c,2012,74900
objective-c,2013,73885
objective-c,2014,63590
objective-c,2015,47610
objective-c,2016,23667
opencv,2008,33
opencv,2009,228
opencv,2010,918
opencv,2011,2576
opencv,2012,4756
opencv,2013,6094
opencv,2014,5901
opencv,2015,5463
opencv,2016,3710
opengl,2008,390
opengl,2009,1792
opengl,2010,2899
opengl,2011,4212
opengl,2012,4751
opengl,2013,5699
opengl,2014,4944
opengl,2015,3590
opengl,2016,1757
pascal,2008,25
pascal,2009,173
pascal,2010,282
pascal,2011,387
pascal,2012,311
pascal,2013,447
pascal,2014,329
pascal,2015,293
pascal,2016,178
perl,2008,2251
perl,2009,8564
perl,2010,12080
perl,2011,12996
perl,2012,13016
perl,2013,13665
perl,2014,11593
perl,2015,8210
perl,2016,4815
php,2008,9014
php,2009,59797
php,2010,120207
php,2011,194515
php,2012,229484
php,2013,250124
php,2014,235535
php,2015,210022
php,2016,137258
postgresql,2008,602
postgresql,2009,2513
postgresql,2010,4482
postgresql,2011,7221
postgresql,2012,10730
postgresql,2013,13543
postgresql,2014,14690
postgresql,2015,15692
postgresql,2016,11751
postscript,2008,21
postscript,2009,67
postscript,2010,112
postscript,2011,126
postscript,2012,195
postscript,2013,153
postscript,2014,118
postscript,2015,126
postscript,2016,76
powershell,2008,493
powershell,2009,1879
powershell,2010,2423
powershell,2011,4100
powershell,2012,5941
powershell,2013,7251
powershell,2014,9128
powershell,2015,9689
powershell,2016,7691
python,2008,7996
python,2009,37540
python,2010,57524
python,2011,78032
python,2012,106064
python,2013,136846
python,2014,141804
python,2015,159166
python,2016,118356
qt,2008,339
qt,2009,2659
qt,2010,5482
qt,2011,7437
qt,2012,9470
qt,2013,11102
qt,2014,10961
qt,2015,9089
qt,2016,6138
r,2008,24
r,2009,1387
r,2010,5014
r,2011,11136
r,2012,18234
r,2013,27465
r,2014,31066
r,2015,36649
r,2016,27125
redis,2009,11
redis,2010,223
redis,2011,1155
redis,2012,1608
redis,2013,1796
redis,2014,1915
redis,2015,2291
redis,2016,1701
ruby,2008,3465
ruby,2009,13785
ruby,2010,21575
ruby,2011,35848
ruby,2012,41796
ruby,2013,48217
ruby,2014,45212
ruby,2015,40320
ruby,2016,24422
ruby-on-rails,2008,2833
ruby-on-rails,2009,16797
ruby-on-rails,2010,32938
ruby-on-rails,2011,52760
ruby-on-rails,2012,59030
ruby-on-rails,2013,63816
ruby-on-rails,2014,57886
ruby-on-rails,2015,52850
ruby-on-rails,2016,32807
rust,2010,4
rust,2011,1
rust,2012,21
rust,2013,177
rust,2014,1341
rust,2015,2896
rust,2016,1878
sass,2008,5
sass,2009,52
sass,2010,206
sass,2011,653
sass,2012,1303
sass,2013,2320
sass,2014,2840
sass,2015,2080
sass,2016,1863
scala,2008,68
scala,2009,1698
scala,2010,5342
scala,2011,8832
scala,2012,9737
scala,2013,13257
scala,2014,14245
scala,2015,16463
scala,2016,11159
scheme,2008,237
scheme,2009,703
scheme,2010,874
scheme,2011,969
scheme,2012,1204
scheme,2013,1450
scheme,2014,1228
scheme,2015,1046
scheme,2016,639
silverlight,2008,1120
silverlight,2009,6221
silverlight,2010,11734
silverlight,2011,13811
silverlight,2012,7155
silverlight,2013,3136
silverlight,2014,2067
silverlight,2015,953
silverlight,2016,311
smalltalk,2008,90
smalltalk,2009,260
smalltalk,2010,241
smalltalk,2011,358
smalltalk,2012,249
smalltalk,2013,425
smalltalk,2014,213
smalltalk,2015,183
smalltalk,2016,97
sql,2008,8881
sql,2009,37674
sql,2010,47342
sql,2011,67266
sql,2012,82597
sql,2013,108530
sql,2014,108474
sql,2015,76168
sql,2016,50538
sql-server,2008,8093
sql-server,2009,27799
sql-server,2010,28324
sql-server,2011,32003
sql-server,2012,35182
sql-server,2013,45322
